Generation,Strain,0copy_mCherry,1copy_mCherry,Multicopy_mCherry,0copy_mCitrine,1copy_mCitrine,Multicopy_mCitrine 
57,DGY1976_1,99.52,0.01,0.07,0.1,0.37,99.52
57,DGY1976_2,99.23,0,0,0.01,0.26,99.74
57,DGY1976_3,99.63,0,0,0.04,0.67,99.31
57,DGY1976_4,99.27,0,0.01,0.01,0.29,99.72
57,DGY1988_1,99.74,0.02,0,0.05,0.19,99.76
57,DGY1988_2,99.39,0.01,0,0.01,0.17,99.81
57,DGY1988_3,99.37,0.01,0,0.05,0.15,99.79
57,DGY1988_4,99.84,0,0,0,0.19,99.8
57,DGY2702_1,0.05,1.63,97.72,0.04,92.87,9.64
57,DGY2702_2,0.06,1.82,97.55,0.04,93.62,8.48
57,DGY2702_3,0.04,2.93,96.35,0.04,93.63,8.34
57,DGY2702_4,0.07,1.42,98.11,0.07,89.33,13.4
57,DGY2748_1,3.85,90.51,6.29,0.21,8.31,94.04
57,DGY2748_2,3.98,86.11,10.5,0.24,24.19,78.28
57,DGY2748_3,1.19,84.63,13.74,0.25,20.28,80.54
57,DGY2748_4,1.99,87.53,10.64,0.3,22,79.01
57,DGY2750_1,0.74,81.36,17.36,0.15,37.97,62.94
57,DGY2750_3,0.77,81.63,16.75,0.17,51.94,49.21
57,DGY2751_1,3.18,18.07,78.36,2.97,5.28,92.3
57,DGY2751_2,0.83,17.75,81.02,0.47,5.43,95.3
57,DGY2751_3,0.88,23.49,75.1,0.57,11.37,88.76
57,DGY2751_4,1.34,15.79,82.45,0.97,3.25,95.94
57,DGY2755_1,1.39,83.52,14.59,0.53,25.95,74.11
57,DGY2755_2,0.54,82.31,16.27,0.15,10,90.22
57,DGY2755_3,0.36,84.26,14.25,0.21,12.12,87.97
57,DGY2755_4,0.6,83.62,14.73,0.34,15.83,84.28
57,DGY2769_1,0.01,2.09,97.87,0.03,91.74,10.37
57,DGY2769_2,0,0.66,99.3,0,90.83,11.58
57,DGY2769_3,0.04,2.25,97.66,0.04,92.45,9.64
57,DGY2769_4,0.03,0.61,99.35,0.03,90.19,12.63
75,DGY1_1,99.96,0.01,0.01,99.96,0.03,0
75,DGY1_2,99.98,0.02,0,99.98,0,0
75,DGY1_3,99.95,0.01,0.04,99.95,0.04,0
75,DGY500_1,99.98,0,0.02,0.06,92.79,9.07
75,DGY500_2,99.99,0.01,0,0.03,94.65,6.51
75,DGY500_3,99.97,0.01,0.02,0.03,96.22,4.95
75,DGY1315_1,99.98,0,0.02,0.01,0.78,99.56
75,DGY1315_2,99.99,0,0.01,0.02,1.02,99.46
75,DGY1315_3,99.98,0.01,0.01,0.01,0.74,99.53
75,DGY1657_1,99.99,0,0.01,0.02,94.27,7.16
75,DGY1657_2,99.96,0,0.04,0.04,94.16,7.47
75,DGY1657_3,99.99,0.01,0,0.01,95.8,5.43
75,DGY2331_1,0.11,2.88,95.76,99.89,0.04,0.07
75,DGY2331_2,0.01,2.33,96.53,99.93,0.02,0
75,DGY2331_3,0,2.4,96.47,99.95,0.02,0
75,DGY2349_1,0.18,88.13,10.37,99.9,0.02,0.05
